All Access Pricing,,,
All Programs- Jiu-Jitsu & Muay Thai,,,
Standard ,Standard ,Unlimited,Unlimited
12 Month,Month to Month,12 Month,Month to Month
$ 105 / Month,$ 120 / Month,$ 135 / Month,$ 150 / Month
,,,
2 Classes a week,2 Classes a week,Unlimited classes,Unlimited classes
All Programs,All Programs,All Programs,All Programs
,,Open gym use,Open gym use
,,,
Single Program Pricing,,,
Jiu-Jitsu OR Muay Thai,,,
Standard ,Standard ,Unlimited,Unlimited
12 Month,Month to Month,12 Month,Month to Month
$ 90 / Month,$ 105 / Month,$ 120 / Month,$ 130 / Month
,,,
2 Classes a week,2 Classes a week,Unlimited Jiu-Jitsu Classes,Unlimited Jiu-Jitsu Classes
Single Program Access,Single Program Access,All Jiu-Jitsu Programs,All Jiu-Jitsu Programs
,,Open Mat,Open Mat
Registration Fee - $25,,,
,,,
**All Membership packages require electronic billing. Debit or Credit Cards accepted. See Membership terms and policy **,,,
